,PV low output,PV medium output,PV high output
2016-05-02 08:35:04,1.9113921809752512,2.867088271462877,3.8227843619505024
2016-05-02 08:35:05,1.9148857829661652,2.872328674449248,3.8297715659323304
2016-05-02 08:35:06,1.9150315457569824,2.8725473186354735,3.830063091513965
2016-05-02 08:35:07,1.9151773085477999,2.8727659628217,3.8303546170955998
2016-05-02 08:35:08,1.9120914180845994,2.868137127126899,3.8241828361691987
2016-05-02 08:35:09,1.9154688341294344,2.8732032511941514,3.8309376682588687
2016-05-02 08:35:10,1.9156145969202516,2.8734218953803774,3.831229193840503
2016-05-02 08:35:11,1.9157603597110686,2.873640539566603,3.8315207194221372
2016-05-02 08:35:12,1.9180925716431798,2.87713885746477,3.8361851432863596
2016-05-02 08:35:13,1.916051885292703,2.874077827939055,3.832103770585406
