,Total load,load_q
5/2/16 8:38,0.912132136,0.456066068
5/2/16 8:38,0.917394504,0.458697252
5/2/16 8:38,0.943844163,0.471922082
5/2/16 8:38,1.040364044,0.520182022
5/2/16 8:38,1.10406514,0.55203257
5/2/16 8:38,0.910332074,0.455166037
5/2/16 8:38,0.909363134,0.454681567
5/2/16 8:38,0.913378116,0.456689058
5/2/16 8:38,0.90894687,0.454473435
5/2/16 8:38,0.914071421,0.457035711
5/2/16 8:38,0.943290082,0.471645041
5/2/16 8:38,1.033578654,0.516789327
5/2/16 8:38,1.110988346,0.555494173
5/2/16 8:38,0.911163196,0.455581598
5/2/16 8:38,0.913655157,0.456827578
5/2/16 8:38,0.909777992,0.454888996
5/2/16 8:38,0.910471297,0.455235649
5/2/16 8:38,0.916563382,0.458281691
5/2/16 8:38,0.937750673,0.468875336
5/2/16 8:38,1.026101366,0.513050683
5/2/16 8:38,1.114865511,0.557432756
5/2/16 8:38,0.908394195,0.454197097
5/2/16 8:38,0.908809053,0.454404526
5/2/16 8:38,0.910055033,0.455027517
5/2/16 8:38,0.909640175,0.454820088
5/2/16 8:38,0.911578054,0.455789027
5/2/16 8:38,0.933319427,0.466659713
5/2/16 8:38,1.022084978,0.511042489
5/2/16 8:38,1.113481713,0.556740857
5/2/16 8:38,0.909500952,0.454750476
5/2/16 8:38,0.912132136,0.456066068
5/2/16 8:38,1.011560241,0.505780121
5/2/16 8:38,0.908669829,0.454334915
5/2/16 8:39,0.910055033,0.455027517
5/2/16 8:39,0.934565407,0.467282703
5/2/16 8:39,1.045626412,0.522813206
5/2/16 8:39,1.244205582,0.622102791
5/2/16 8:39,1.261792749,0.630896375
5/2/16 8:39,1.192691468,0.596345734
5/2/16 8:39,0.992450053,0.496225026
5/2/16 8:39,0.878482229,0.439241115
5/2/16 8:39,0.874742882,0.437371441
5/2/16 8:39,0.897730234,0.448865117
5/2/16 8:39,1.004637034,0.502318517
5/2/16 8:39,1.232157824,0.616078912
5/2/16 8:39,1.2552844,0.6276422
5/2/16 8:39,1.19227661,0.596138305
5/2/16 8:39,1.004082953,0.502041476
5/2/16 8:39,0.871419799,0.435709899
5/2/16 8:39,0.873219861,0.43660993
5/2/16 8:39,0.897730234,0.448865117
5/2/16 8:39,0.991481113,0.495740557
5/2/16 8:39,1.218864086,0.609432043
5/2/16 8:39,1.255838482,0.627919241
5/2/16 8:39,1.236866111,0.618433056
5/2/16 8:39,1.052688842,0.526344421
5/2/16 8:39,0.9125484,0.4562742
5/2/16 8:39,0.915456625,0.457728313
5/2/16 8:39,0.931242324,0.465621162
5/2/16 8:39,1.022084978,0.511042489
5/2/16 8:39,1.249884215,0.624942107
5/2/16 8:39,1.292673654,0.646336827
5/2/16 8:39,1.239774336,0.619887168
5/2/16 8:39,1.064598783,0.532299392
5/2/16 8:39,0.910748338,0.455374169
5/2/16 8:39,0.911717278,0.455858639
5/2/16 8:39,0.92639622,0.46319811
5/2/16 8:39,1.016961833,0.508480917
5/2/16 8:39,1.234928232,0.617464116
5/2/16 8:39,1.290596552,0.645298276
5/2/16 8:39,1.246144867,0.623072434
5/2/16 8:39,1.069721928,0.534860964
5/2/16 8:39,0.90797793,0.453988965
5/2/16 8:39,0.910332074,0.455166037
5/2/16 8:39,0.924319117,0.462159559
5/2/16 8:39,1.007960117,0.503980059
5/2/16 8:39,1.227449537,0.613724769
5/2/16 8:39,1.296413002,0.648206501
5/2/16 8:39,1.248913869,0.624456934
5/2/16 8:39,1.079276319,0.539638159
5/2/16 8:39,0.912132136,0.456066068
5/2/16 8:39,0.908117154,0.454058577
5/2/16 8:39,0.923071731,0.461535865
5/2/16 8:39,1.005468157,0.502734078
5/2/16 8:39,1.217064024,0.608532012
5/2/16 8:39,1.295442656,0.647721328
5/2/16 8:39,1.250022032,0.625011016
5/2/16 8:39,1.090909219,0.545454609
5/2/16 8:39,0.907423849,0.453711924
5/2/16 8:39,0.907286032,0.453643016
5/2/16 8:39,0.925148833,0.462574417
5/2/16 8:39,0.996051583,0.498025792
5/2/16 8:39,1.203493245,0.601746623
5/2/16 8:40,1.295027798,0.647513899
5/2/16 8:40,1.292950695,0.646475348
5/2/16 8:40,1.288242408,0.644121204
5/2/16 8:40,1.215401779,0.60770089
5/2/16 8:40,1.063628437,0.531814219
5/2/16 8:40,0.887759579,0.44387979
5/2/16 8:40,0.953814819,0.476907409
5/2/16 8:40,1.160841623,0.580420811
5/2/16 8:40,1.256946645,0.628473323
5/2/16 8:40,1.258884524,0.629442262
5/2/16 8:40,1.259300788,0.629650394
5/2/16 8:40,1.217895146,0.608947573
5/2/16 8:40,1.074153174,0.537076587
5/2/16 8:40,0.884159455,0.442079728
5/2/16 8:40,0.947444287,0.473722144
5/2/16 8:40,1.139931373,0.569965686
5/2/16 8:40,1.256115523,0.628057761
5/2/16 8:40,1.259853464,0.629926732
5/2/16 8:40,1.25403842,0.62701921
5/2/16 8:40,1.216924801,0.6084624
5/2/16 8:40,1.085923891,0.542961946
